Diaper time,In the diaper,Color,Texture
12/23/2021 5:32:49 PM,pee,,
12/23/2021 5:03:00 AM,pee,,
12/23/2021 12:00:00 PM,pee and poo,yellow,Mushy
12/23/2021 8:02:00 AM,pee,,
12/22/2021 9:47:23 AM,pee,,
12/22/2021 6:55:00 AM,pee,,
12/22/2021 12:00:00 PM,pee and poo,yellow,Mushy
12/22/2021 8:12:39 PM,pee,,
12/22/2021 3:15:00 PM,pee,,
12/22/2021 12:57:41 AM,pee and poo,yellow,Mushy
12/22/2021 10:46:00 AM,pee,,
12/21/2021 2:23:00 PM,pee,,
12/21/2021 7:48:42 AM,pee,,
12/21/2021 11:46:27 AM,pee,,
12/21/2021 10:00:00 PM,pee,,
12/21/2021 4:53:50 PM,pee,,
12/20/2021 10:10:00 PM,pee,,
12/20/2021 10:30:00 AM,pee,,
12/20/2021 4:15:00 AM,pee,,
12/20/2021 12:19:25 AM,pee,,
12/20/2021 10:51:00 PM,pee and poo,yellow,Mucusy
12/20/2021 5:05:43 PM,pee and poo,yellow,Mushy
12/20/2021 5:45:00 PM,pee and poo,yellow,Mushy
12/19/2021 7:00:00 AM,pee,,
12/19/2021 9:19:15 AM,pee,,
12/19/2021 4:29:00 PM,pee,,
12/19/2021 8:01:00 PM,pee and poo,yellow,Mushy
12/18/2021 10:33:36 AM,pee and poo,yellow,Mushy
12/18/2021 8:52:25 AM,pee,,
12/18/2021 3:20:15 AM,pee and poo,yellow,Mushy
12/18/2021 3:00:00 PM,pee,,
12/18/2021 7:00:00 PM,pee and poo,yellow,Mushy
12/18/2021 10:20:00 PM,pee and poo,yellow,Runny
12/17/2021 8:50:00 PM,pee,,
12/17/2021 6:00:00 PM,pee,,
12/17/2021 5:15:00 AM,pee,,
12/17/2021 2:17:55 PM,pee,,
12/17/2021 9:01:00 AM,pee,,
12/16/2021 9:18:46 PM,pee and poo,yellow,Mushy
12/16/2021 3:05:00 PM,poo,yellow,Mushy
12/16/2021 10:34:39 PM,pee and poo,yellow,Mushy
12/16/2021 5:10:29 AM,pee and poo,yellow,Mushy
12/16/2021 6:31:00 AM,pee and poo,yellow,Mushy
12/16/2021 10:00:00 AM,pee,,
12/15/2021 10:01:00 PM,pee and poo,brown,Mushy
12/15/2021 1:42:00 AM,pee,,
12/15/2021 8:30:00 AM,pee,,
12/15/2021 3:15:00 PM,pee and poo,,Mushy
12/15/2021 7:04:00 PM,pee,,
12/15/2021 12:36:58 PM,pee,,
12/14/2021 8:00:00 AM,pee,,
12/14/2021 5:00:00 AM,pee,,
12/14/2021 11:45:00 AM,pee,,
12/14/2021 3:50:00 PM,pee and poo,yellow,Mushy
12/13/2021 4:40:56 AM,pee,,
12/13/2021 8:03:22 PM,pee and poo,yellow,Mushy
12/13/2021 11:34:07 PM,poo,yellow,Mushy
12/13/2021 9:29:54 AM,pee,,
12/13/2021 8:21:06 AM,pee,,
12/13/2021 5:12:00 AM,pee,,
12/13/2021 12:08:44 PM,pee,,
12/13/2021 3:30:00 PM,pee,,
12/13/2021 6:03:00 PM,poo,yellow,Mushy
12/13/2021 10:55:52 PM,pee,,
12/13/2021 10:23:15 PM,pee and poo,yellow,Mushy
12/13/2021 6:00:00 PM,pee,,
12/12/2021 10:59:00 PM,poo,yellow,Mushy
12/12/2021 8:29:49 AM,pee,,
12/12/2021 10:00:00 AM,pee,,
12/12/2021 10:20:00 PM,pee,,
12/12/2021 3:56:44 PM,pee,,
12/12/2021 11:56:27 PM,pee,,
12/12/2021 1:19:58 PM,pee,,
12/12/2021 6:00:00 PM,pee,,
12/11/2021 10:00:00 AM,pee and poo,yellow,Mushy
12/11/2021 4:39:00 AM,pee,,
12/11/2021 2:50:00 PM,pee,,
12/11/2021 10:41:16 PM,pee,,
12/11/2021 7:33:35 PM,pee and poo,yellow,Mushy
12/10/2021 4:36:00 PM,pee,,
12/10/2021 4:47:56 AM,pee,,
12/10/2021 10:05:00 AM,pee,,
12/10/2021 10:58:00 AM,pee and poo,yellow,Mushy
12/10/2021 11:22:45 PM,pee,,
12/10/2021 2:18:00 AM,pee,,
12/10/2021 5:47:00 PM,pee and poo,yellow,Mushy
12/09/2021 1:35:46 PM,pee,,
12/09/2021 4:27:32 AM,pee,,
12/09/2021 7:30:06 AM,pee,,
12/09/2021 8:22:00 AM,pee and poo,yellow,Mushy
12/09/2021 10:00:22 PM,pee and poo,yellow,Mushy
12/09/2021 2:40:43 PM,pee,,
12/09/2021 7:13:46 PM,pee and poo,yellow,Mushy
12/09/2021 10:30:00 AM,pee,,
12/09/2021 5:24:20 PM,pee,,
12/08/2021 6:08:14 PM,pee and poo,yellow,Mushy
12/08/2021 6:47:09 AM,pee,,
12/08/2021 9:39:58 PM,pee,,
12/08/2021 8:47:00 AM,pee and poo,yellow,Mushy
12/08/2021 2:37:55 PM,pee and poo,yellow,Mucusy
12/08/2021 5:08:36 PM,pee,,
12/08/2021 1:43:49 AM,pee and poo,yellow,Mushy
12/08/2021 11:16:03 AM,pee,,
12/08/2021 10:26:12 PM,pee,,
12/08/2021 11:30:00 PM,pee,,
12/07/2021 11:56:24 AM,pee and poo,yellow,Runny
12/07/2021 10:00:00 PM,pee,,
12/07/2021 10:00:00 AM,pee,,
12/07/2021 8:05:56 AM,pee,,
12/07/2021 7:00:00 PM,pee and poo,yellow,Runny
12/07/2021 1:13:00 PM,pee,,
12/07/2021 3:08:02 AM,pee,,
12/07/2021 12:58:47 AM,pee,,
12/07/2021 4:52:32 AM,pee and poo,yellow,Runny
12/06/2021 1:58:00 PM,pee and poo,yellow,Mushy
12/06/2021 5:28:39 AM,poo,yellow,Runny
12/06/2021 7:15:00 PM,pee and poo,yellow,Mushy
12/06/2021 12:58:00 PM,pee and poo,yellow,Mushy
12/06/2021 9:45:00 PM,pee and poo,yellow,Runny
12/06/2021 6:15:00 AM,pee and poo,yellow,Runny
12/06/2021 11:30:00 AM,pee,,
12/06/2021 1:33:36 AM,pee,,
12/06/2021 7:25:02 AM,pee and poo,yellow,Runny
12/06/2021 5:00:00 AM,pee,,
12/06/2021 6:17:00 PM,pee,,
12/06/2021 11:07:00 AM,pee,,
12/05/2021 7:13:38 AM,pee and poo,yellow,Mushy
12/05/2021 1:19:24 AM,pee,,
12/05/2021 4:22:00 PM,pee and poo,yellow,Mushy
12/05/2021 5:31:25 AM,pee,,
12/05/2021 9:06:37 PM,pee,,
12/05/2021 9:46:00 PM,pee and poo,yellow,Mushy
12/05/2021 5:34:00 PM,pee and poo,yellow,Mushy
12/05/2021 9:15:00 AM,pee,,
12/05/2021 10:27:00 PM,pee and poo,yellow,Runny
12/05/2021 12:00:00 PM,pee and poo,yellow,Mushy
12/05/2021 1:55:12 PM,pee and poo,yellow,Mushy
12/04/2021 4:38:00 PM,pee and poo,yellow,Mushy
12/04/2021 11:00:00 AM,pee,,
12/04/2021 3:55:56 PM,pee and poo,yellow,Mushy
12/04/2021 10:04:35 PM,pee and poo,yellow,Mushy
12/04/2021 12:55:00 PM,pee and poo,yellow,Mushy
12/04/2021 4:46:25 AM,pee and poo,yellow,Mushy
12/04/2021 8:40:00 PM,pee and poo,yellow,Mushy
12/04/2021 11:18:00 PM,poo,,Very runny
12/04/2021 2:05:40 AM,pee,,
12/03/2021 7:00:00 PM,pee and poo,yellow,Mushy
12/03/2021 5:26:52 AM,pee and poo,yellow,Mushy
12/03/2021 3:02:20 AM,poo,yellow,Runny
12/03/2021 7:44:00 AM,pee and poo,yellow,Runny
12/03/2021 1:05:00 PM,pee and poo,yellow,Mushy
12/03/2021 2:57:17 AM,pee,,
12/03/2021 10:15:00 AM,pee and poo,yellow,Mushy
12/03/2021 5:34:34 PM,pee and poo,yellow,Mushy
12/02/2021 1:08:00 AM,pee and poo,yellow,Runny
12/02/2021 11:46:00 AM,pee,,
12/02/2021 4:30:00 PM,pee,,
12/02/2021 8:58:07 AM,pee,,
12/02/2021 11:55:00 AM,poo,yellow,Mushy
12/02/2021 7:10:00 AM,pee and poo,yellow,Runny
